FROM_REACTION_ID	TYPE	TO_REACTION_ID
18669	is_a	23344
18670	is_a	23345
18671	is_a	23346
18672	is_a	23347
18689	is_a	44664
18690	is_a	44665
18691	is_a	44666
18692	is_a	44667
18697	is_a	11628
18698	is_a	11629
18699	is_a	11630
18700	is_a	11631
18761	is_a	44444
18762	is_a	44445
18763	is_a	44446
18764	is_a	44447
18765	is_a	41460
18766	is_a	41461
18767	is_a	41462
18768	is_a	41463
18889	is_a	54132
18890	is_a	54133
18891	is_a	54134
18892	is_a	54135
18913	is_a	52316
18914	is_a	52317
18915	is_a	52318
18916	is_a	52319
18925	is_a	15937
18926	is_a	15938
18927	is_a	15939
18928	is_a	15940
18941	is_a	19257
18942	is_a	19258
18943	is_a	19259
18944	is_a	19260
19025	is_a	13781
19026	is_a	13782
19027	is_a	13783
19028	is_a	13784
19061	is_a	21068
19062	is_a	21069
19063	is_a	21070
19064	is_a	21071
19073	is_a	17989
19074	is_a	17990
19075	is_a	17991
19076	is_a	17992
19129	is_a	12140
19130	is_a	12141
19131	is_a	12142
19132	is_a	12143
19181	is_a	44704
19182	is_a	44705
19183	is_a	44706
19184	is_a	44707
19201	is_a	12140
19202	is_a	12141
19203	is_a	12142
19204	is_a	12143
19225	is_a	61976
19226	is_a	61977
19227	is_a	61978
19228	is_a	61979
19229	is_a	50916
19230	is_a	50917
19231	is_a	50918
19232	is_a	50919
19253	is_a	45300
19254	is_a	45301
19255	is_a	45302
19256	is_a	45303
19269	is_a	24336
19270	is_a	24337
19271	is_a	24338
19272	is_a	24339
19329	is_a	22724
19330	is_a	22725
19331	is_a	22726
19332	is_a	22727
19401	is_a	10736
19402	is_a	10737
19403	is_a	10738
19404	is_a	10739
19525	is_a	56556
19526	is_a	56557
19527	is_a	56558
19528	is_a	56559
19585	is_a	11356
19586	is_a	11358
19587	is_a	11357
19588	is_a	11359
19617	is_a	58956
19618	is_a	58957
19619	is_a	58958
19620	is_a	58959
19641	is_a	24336
19642	is_a	24337
19643	is_a	24338
19644	is_a	24339
19645	is_a	15917
19646	is_a	15918
19647	is_a	15919
19648	is_a	15920
19649	is_a	18349
19650	is_a	18350
19651	is_a	18351
19652	is_a	18352
19669	is_a	23680
19670	is_a	23681
19671	is_a	23682
19672	is_a	23683
19677	is_a	23328
19678	is_a	23329
19679	is_a	23330
19680	is_a	23331
19721	is_a	25416
19722	is_a	25417
19723	is_a	25418
19724	is_a	25419
19889	is_a	13205
19890	is_a	13206
19891	is_a	13207
19892	is_a	13208
20029	is_a	15937
20030	is_a	15938
20031	is_a	15939
20032	is_a	15940
20077	is_a	58956
20078	is_a	58957
20079	is_a	58958
20080	is_a	58959
20249	is_a	18317
20250	is_a	18318
20251	is_a	18319
20252	is_a	18320
20309	is_a	30275
20310	is_a	30276
20311	is_a	30277
20312	is_a	30278
20333	is_a	17989
20334	is_a	17990
20335	is_a	17991
20336	is_a	17992
20373	is_a	52860
20374	is_a	52861
20375	is_a	52862
20376	is_a	52863
20381	is_a	10740
20382	is_a	10741
20383	is_a	10742
20384	is_a	10743
20497	is_a	10352
20498	is_a	10353
20499	is_a	10354
20500	is_a	10355
20529	is_a	16829
20530	is_a	16830
20531	is_a	16831
20532	is_a	16832
20625	is_a	12116
20626	is_a	12117
20627	is_a	12118
20628	is_a	12119
20728	is_a	13781
20729	is_a	13782
20730	is_a	13783
20731	is_a	13784
20780	is_a	24036
20781	is_a	24037
20782	is_a	24038
20783	is_a	24039
20880	is_a	10736
20880	is_a	39035
20881	is_a	10737
20881	is_a	39036
20882	is_a	10738
20882	is_a	39037
20883	is_a	10739
20883	is_a	39038
20988	is_a	36795
20989	is_a	36796
20990	is_a	36797
20991	is_a	36798
21108	is_a	11628
21109	is_a	11629
21110	is_a	11630
21111	is_a	11631
21124	is_a	61988
21125	is_a	61989
21126	is_a	61990
21127	is_a	61991
21284	is_a	10736
21285	is_a	10737
21286	is_a	10738
21287	is_a	10739
21380	is_a	44004
21381	is_a	44005
21382	is_a	44006
21383	is_a	44007
21432	is_a	22556
21432	is_a	34555
21433	is_a	22557
21433	is_a	34556
21434	is_a	22558
21434	is_a	34557
21435	is_a	22559
21435	is_a	34558
21508	is_a	21164
21509	is_a	21165
21510	is_a	21166
21511	is_a	21167
21548	is_a	58108
21549	is_a	58109
21550	is_a	58110
21551	is_a	58111
21552	is_a	52104
21553	is_a	52105
